user_id,age,income,credit_score,loan_amount,tenure_months,interest_rate,merchant_commission_rate,acquisition_cost,defaulted,revenue,loss,net_profit
BNPL_000023,48,58585,327,15931,3,0.18,0.03,243,0,1194.83,0,951.83
BNPL_000024,31,33047,805,12230,3,0.18,0.03,547,0,917.25,0,370.25
BNPL_000025,53,45080,676,3306,3,0.18,0.03,320,0,247.95,0,-72.05
BNPL_000026,23,73053,755,7530,3,0.18,0.03,336,0,564.75,0,228.75
BNPL_000027,53,113098,533,2663,3,0.18,0.03,514,0,199.72,0,-314.27
BNPL_000028,52,83840,412,20237,3,0.18,0.03,251,1,1517.78,20237,-18970.22
BNPL_000029,22,104474,412,3636,3,0.18,0.03,312,0,272.7,0,-39.3
BNPL_000030,22,118041,519,15877,3,0.18,0.03,542,0,1190.77,0,648.77
BNPL_000031,53,70680,702,15949,3,0.18,0.03,329,0,1196.17,0,867.17
BNPL_000032,46,119095,715,6931,3,0.18,0.03,402,0,519.82,0,117.82
BNPL_000033,37,40342,593,4327,3,0.18,0.03,524,0,324.52,0,-199.48
BNPL_000034,26,104045,810,17087,3,0.18,0.03,343,0,1281.53,0,938.53
BNPL_000035,26,66663,648,28370,3,0.18,0.03,347,0,2127.75,0,1780.75
BNPL_000036,39,49754,810,10338,3,0.18,0.03,347,0,775.35,0,428.35
BNPL_000037,53,98879,637,13111,3,0.18,0.03,328,0,983.33,0,655.33
BNPL_000038,45,62254,714,22445,3,0.18,0.03,497,0,1683.38,0,1186.38
BNPL_000039,36,111601,301,7423,3,0.18,0.03,453,0,556.72,0,103.72
BNPL_000040,52,76434,308,9400,3,0.18,0.03,298,0,705.0,0,407.0
BNPL_000041,36,81690,703,8295,3,0.18,0.03,253,0,622.12,0,369.12
BNPL_000042,44,44299,719,11637,3,0.18,0.03,303,0,872.77,0,569.77
BNPL_000043,45,97018,452,16172,3,0.18,0.03,583,0,1212.9,0,629.9
BNPL_000044,22,17869,462,19340,3,0.18,0.03,368,1,1450.5,19340,-18257.5
BNPL_000045,24,38328,697,27876,3,0.18,0.03,503,0,2090.7,0,1587.7
BNPL_000046,28,61214,494,22880,3,0.18,0.03,327,0,1716.0,0,1389.0
BNPL_000047,32,55818,769,21830,3,0.18,0.03,221,0,1637.25,0,1416.25
BNPL_000048,28,34738,326,18609,3,0.18,0.03,476,0,1395.67,0,919.67
BNPL_000049,48,54790,780,29643,3,0.18,0.03,516,0,2223.22,0,1707.22
BNPL_000050,24,117946,491,13312,3,0.18,0.03,216,0,998.4,0,782.4
BNPL_000051,50,58484,345,5444,3,0.18,0.03,205,0,408.3,0,203.3
BNPL_000052,44,18420,796,2301,3,0.18,0.03,380,0,172.57,0,-207.43
BNPL_000053,53,80726,552,19364,3,0.18,0.03,360,0,1452.3,0,1092.3
BNPL_000054,38,49584,622,3895,3,0.18,0.03,373,1,292.12,3895,-3975.88
BNPL_000055,52,19014,454,12729,3,0.18,0.03,585,0,954.67,0,369.67
BNPL_000056,53,93069,475,9206,3,0.18,0.03,369,0,690.45,0,321.45
BNPL_000057,45,25647,824,25355,3,0.18,0.03,590,0,1901.62,0,1311.62
BNPL_000058,40,17368,811,10173,3,0.18,0.03,599,0,762.97,0,163.97
BNPL_000059,43,28403,653,15121,3,0.18,0.03,487,0,1134.07,0,647.07
BNPL_000060,42,108848,489,19532,3,0.18,0.03,349,0,1464.9,0,1115.9
BNPL_000061,42,46024,353,17338,3,0.18,0.03,300,0,1300.35,0,1000.35
BNPL_000062,25,102142,495,23253,3,0.18,0.03,564,1,1743.97,23253,-22073.03
BNPL_000063,50,84678,568,6465,3,0.18,0.03,323,0,484.88,0,161.88
BNPL_000064,39,101672,419,19214,3,0.18,0.03,474,0,1441.05,0,967.05
BNPL_000065,46,105852,773,10308,3,0.18,0.03,517,0,773.1,0,256.1
BNPL_000066,29,115235,357,18896,3,0.18,0.03,438,0,1417.2,0,979.2
BNPL_000067,45,60543,536,18244,3,0.18,0.03,584,0,1368.3,0,784.3
BNPL_000068,25,74638,375,22633,3,0.18,0.03,343,1,1697.47,22633,-21278.53
BNPL_000069,42,99664,584,11435,3,0.18,0.03,268,1,857.62,11435,-10845.38
BNPL_000070,50,110981,752,13151,3,0.18,0.03,417,0,986.32,0,569.32
BNPL_000071,41,109758,588,25805,3,0.18,0.03,421,0,1935.38,0,1514.38
BNPL_000072,30,94605,399,4849,3,0.18,0.03,379,0,363.67,0,-15.33
BNPL_000073,39,115793,624,18364,3,0.18,0.03,203,0,1377.3,0,1174.3
BNPL_000074,36,119182,557,18347,3,0.18,0.03,583,0,1376.03,0,793.03
BNPL_000075,40,33071,679,28144,3,0.18,0.03,378,0,2110.8,0,1732.8
BNPL_000076,32,112856,716,15479,3,0.18,0.03,529,0,1160.92,0,631.92
BNPL_000077,49,101027,601,14161,3,0.18,0.03,452,1,1062.08,14161,-13550.92
BNPL_000078,43,108008,389,27351,3,0.18,0.03,292,0,2051.32,0,1759.32
BNPL_000079,46,91797,717,26690,3,0.18,0.03,304,0,2001.75,0,1697.75
BNPL_000080,31,15412,675,9587,3,0.18,0.03,416,0,719.02,0,303.02
BNPL_000081,30,53756,756,4967,3,0.18,0.03,391,0,372.52,0,-18.48
BNPL_000082,38,85640,395,28263,3,0.18,0.03,350,0,2119.72,0,1769.72
BNPL_000083,32,51208,824,12518,3,0.18,0.03,416,0,938.85,0,522.85
BNPL_000084,50,29397,641,22876,3,0.18,0.03,386,1,1715.7,22876,-21546.3
BNPL_000085,32,78932,532,26466,3,0.18,0.03,275,0,1984.95,0,1709.95
BNPL_000086,48,97637,683,23330,3,0.18,0.03,566,0,1749.75,0,1183.75
BNPL_000087,25,117795,324,13130,3,0.18,0.03,252,0,984.75,0,732.75
BNPL_000088,34,118033,432,25714,3,0.18,0.03,414,0,1928.55,0,1514.55
BNPL_000089,31,21801,308,25625,3,0.18,0.03,452,0,1921.88,0,1469.88
BNPL_000090,33,65343,469,29569,3,0.18,0.03,482,0,2217.68,0,1735.68
BNPL_000091,25,103092,464,23925,3,0.18,0.03,538,0,1794.38,0,1256.38
BNPL_000092,21,98285,799,28256,3,0.18,0.03,526,0,2119.2,0,1593.2
BNPL_000093,24,50909,551,21870,3,0.18,0.03,474,0,1640.25,0,1166.25
BNPL_000094,47,40289,830,17485,3,0.18,0.03,372,1,1311.38,17485,-16545.62
BNPL_000095,48,18709,357,25003,3,0.18,0.03,516,0,1875.22,0,1359.22
BNPL_000096,21,54298,647,2504,3,0.18,0.03,390,0,187.8,0,-202.2
BNPL_000097,45,48591,416,18517,3,0.18,0.03,257,1,1388.78,18517,-17385.22
BNPL_000098,52,37700,448,22559,3,0.18,0.03,573,0,1691.92,0,1118.92
BNPL_000099,39,28843,740,17761,3,0.18,0.03,246,0,1332.07,0,1086.07
BNPL_000100,34,67638,812,11588,3,0.18,0.03,253,0,869.1,0,616.1
BNPL_000101,36,56430,311,3353,3,0.18,0.03,423,1,251.47,3353,-3524.53
BNPL_000102,32,38959,672,11337,3,0.18,0.03,547,0,850.27,0,303.27
BNPL_000103,28,99665,615,2539,3,0.18,0.03,419,0,190.43,0,-228.57
BNPL_000104,47,62605,444,7320,3,0.18,0.03,411,0,549.0,0,138.0
BNPL_000105,49,42532,846,21708,3,0.18,0.03,589,0,1628.1,0,1039.1
BNPL_000106,25,65990,749,2009,3,0.18,0.03,511,0,150.68,0,-360.32
BNPL_000107,25,16015,673,29712,3,0.18,0.03,345,0,2228.4,0,1883.4
BNPL_000108,31,77292,581,6158,3,0.18,0.03,416,0,461.85,0,45.85
BNPL_000109,47,101704,760,22384,3,0.18,0.03,297,0,1678.8,0,1381.8
BNPL_000110,21,15404,817,14763,3,0.18,0.03,396,0,1107.22,0,711.22
BNPL_000111,23,65612,322,25524,3,0.18,0.03,252,0,1914.3,0,1662.3
BNPL_000112,30,68330,444,17444,3,0.18,0.03,277,1,1308.3,17444,-16412.7
BNPL_000113,21,60106,745,6544,3,0.18,0.03,568,0,490.8,0,-77.2
BNPL_000114,54,51187,394,9239,3,0.18,0.03,238,0,692.92,0,454.92
BNPL_000115,54,76877,417,19154,3,0.18,0.03,578,0,1436.55,0,858.55
BNPL_000116,21,88963,688,29613,3,0.18,0.03,421,0,2220.97,0,1799.97
BNPL_000117,37,68871,602,17254,3,0.18,0.03,406,0,1294.05,0,888.05
BNPL_000118,34,52441,374,22914,3,0.18,0.03,302,1,1718.55,22914,-21497.45
BNPL_000119,54,21949,605,24625,3,0.18,0.03,537,0,1846.88,0,1309.88
BNPL_000120,47,76886,607,22645,3,0.18,0.03,534,0,1698.38,0,1164.38
BNPL_000121,37,118196,437,24711,3,0.18,0.03,529,0,1853.32,0,1324.32
BNPL_000122,40,117468,845,9941,3,0.18,0.03,252,0,745.57,0,493.57
BNPL_000123,31,21254,482,17183,3,0.18,0.03,294,0,1288.72,0,994.72
BNPL_000124,36,39071,659,29523,3,0.18,0.03,383,0,2214.22,0,1831.22
BNPL_000125,52,116570,392,19055,3,0.18,0.03,260,1,1429.12,19055,-17885.88
BNPL_000126,39,72108,304,23969,3,0.18,0.03,291,0,1797.67,0,1506.67
BNPL_000127,42,94252,812,8376,3,0.18,0.03,211,0,628.2,0,417.2
BNPL_000128,54,106865,372,25321,3,0.18,0.03,448,0,1899.07,0,1451.07
BNPL_000129,42,25478,355,24877,3,0.18,0.03,306,0,1865.77,0,1559.77
BNPL_000130,37,110257,556,28631,3,0.18,0.03,312,0,2147.32,0,1835.32
BNPL_000131,35,15302,355,15013,3,0.18,0.03,213,0,1125.97,0,912.97
BNPL_000132,43,82661,515,17745,3,0.18,0.03,564,1,1330.88,17745,-16978.12
BNPL_000133,27,20122,662,7870,3,0.18,0.03,473,0,590.25,0,117.25
BNPL_000134,35,61271,784,12267,3,0.18,0.03,401,0,920.02,0,519.02
BNPL_000135,37,110462,385,26025,3,0.18,0.03,325,1,1951.88,26025,-24398.12
BNPL_000136,37,18596,511,8168,3,0.18,0.03,267,0,612.6,0,345.6
BNPL_000137,38,41734,527,22590,3,0.18,0.03,233,0,1694.25,0,1461.25
BNPL_000138,39,96449,724,29236,3,0.18,0.03,205,0,2192.7,0,1987.7
BNPL_000139,54,90703,614,19260,3,0.18,0.03,428,0,1444.5,0,1016.5
BNPL_000140,42,107436,802,8767,3,0.18,0.03,203,0,657.52,0,454.52
BNPL_000141,50,28918,436,15046,3,0.18,0.03,586,0,1128.45,0,542.45
BNPL_000142,44,53110,305,25873,3,0.18,0.03,419,0,1940.47,0,1521.47
BNPL_000143,35,15117,803,16309,3,0.18,0.03,261,0,1223.17,0,962.17
BNPL_000144,35,25954,691,17385,3,0.18,0.03,372,0,1303.88,0,931.88
BNPL_000145,26,45105,417,28386,3,0.18,0.03,411,0,2128.95,0,1717.95
BNPL_000146,32,82584,389,14941,3,0.18,0.03,519,1,1120.58,14941,-14339.42
BNPL_000147,31,47254,558,22128,3,0.18,0.03,589,0,1659.6,0,1070.6
BNPL_000148,30,97180,471,9041,3,0.18,0.03,212,0,678.08,0,466.08
BNPL_000149,40,23512,618,12568,3,0.18,0.03,472,1,942.6,12568,-12097.4
BNPL_000150,35,94767,849,28614,3,0.18,0.03,293,0,2146.05,0,1853.05
BNPL_000151,25,111573,535,12161,3,0.18,0.03,533,0,912.08,0,379.08
BNPL_000152,31,85792,846,20944,3,0.18,0.03,495,0,1570.8,0,1075.8
BNPL_000153,49,23007,528,24797,3,0.18,0.03,515,1,1859.78,24797,-23452.22
BNPL_000154,41,30524,304,21282,3,0.18,0.03,578,0,1596.15,0,1018.15
BNPL_000155,24,31984,341,20520,3,0.18,0.03,495,0,1539.0,0,1044.0
BNPL_000156,34,54711,721,7984,3,0.18,0.03,222,0,598.8,0,376.8
BNPL_000157,53,34096,444,3248,3,0.18,0.03,508,0,243.6,0,-264.4
BNPL_000158,26,69917,690,19586,3,0.18,0.03,241,0,1468.95,0,1227.95
BNPL_000159,35,86324,588,28611,3,0.18,0.03,430,0,2145.82,0,1715.82
BNPL_000160,49,25789,740,3120,3,0.18,0.03,488,1,234.0,3120,-3374.0
BNPL_000161,42,74201,821,6612,3,0.18,0.03,322,0,495.9,0,173.9
BNPL_000162,33,38710,527,8359,3,0.18,0.03,383,0,626.92,0,243.92
BNPL_000163,28,79772,456,16382,3,0.18,0.03,523,0,1228.65,0,705.65
BNPL_000164,22,31478,591,2793,3,0.18,0.03,498,0,209.47,0,-288.52
BNPL_000165,40,92834,553,16153,3,0.18,0.03,559,0,1211.47,0,652.47
BNPL_000166,28,70318,645,12541,3,0.18,0.03,562,0,940.58,0,378.58
BNPL_000167,33,88319,509,19368,3,0.18,0.03,310,0,1452.6,0,1142.6
BNPL_000168,32,54915,655,17343,3,0.18,0.03,523,0,1300.72,0,777.72
BNPL_000169,28,15126,405,29632,3,0.18,0.03,291,0,2222.4,0,1931.4
BNPL_000170,29,101066,328,13559,3,0.18,0.03,496,0,1016.92,0,520.92
BNPL_000171,43,49560,704,5417,3,0.18,0.03,309,0,406.27,0,97.27
BNPL_000172,43,34256,300,3854,3,0.18,0.03,254,1,289.05,3854,-3818.95
BNPL_000173,35,83244,730,25496,3,0.18,0.03,508,0,1912.2,0,1404.2
BNPL_000174,46,28224,543,18920,3,0.18,0.03,289,0,1419.0,0,1130.0
BNPL_000175,22,23070,509,10666,3,0.18,0.03,546,0,799.95,0,253.95
BNPL_000176,44,82526,479,14997,3,0.18,0.03,543,0,1124.78,0,581.78
BNPL_000177,49,109270,455,18241,3,0.18,0.03,248,1,1368.07,18241,-17120.92
BNPL_000178,40,34816,447,22085,3,0.18,0.03,541,1,1656.38,22085,-20969.62
BNPL_000179,27,90520,440,11181,3,0.18,0.03,414,0,838.58,0,424.58
BNPL_000180,39,108501,331,4717,3,0.18,0.03,484,0,353.77,0,-130.23
BNPL_000181,49,105397,443,25570,3,0.18,0.03,217,0,1917.75,0,1700.75
BNPL_000182,22,21645,412,28737,3,0.18,0.03,421,0,2155.28,0,1734.28
BNPL_000183,24,70168,563,14342,3,0.18,0.03,558,0,1075.65,0,517.65
BNPL_000184,30,114785,461,21835,3,0.18,0.03,286,0,1637.62,0,1351.62
BNPL_000185,52,100382,648,13271,3,0.18,0.03,520,0,995.32,0,475.32
BNPL_000186,23,45678,742,18380,3,0.18,0.03,527,0,1378.5,0,851.5
BNPL_000187,23,54986,563,9970,3,0.18,0.03,295,0,747.75,0,452.75
BNPL_000188,52,75535,790,14175,3,0.18,0.03,364,0,1063.12,0,699.12
BNPL_000189,34,81358,306,6425,3,0.18,0.03,462,0,481.88,0,19.88
BNPL_000190,41,68394,680,11106,3,0.18,0.03,235,0,832.95,0,597.95
BNPL_000191,38,23705,822,6841,3,0.18,0.03,585,0,513.07,0,-71.93
BNPL_000192,32,29596,555,15192,3,0.18,0.03,425,0,1139.4,0,714.4
BNPL_000193,42,32771,579,14880,3,0.18,0.03,401,0,1116.0,0,715.0
BNPL_000194,43,101143,414,29856,3,0.18,0.03,213,0,2239.2,0,2026.2
BNPL_000195,22,114608,658,25752,3,0.18,0.03,445,0,1931.4,0,1486.4
BNPL_000196,24,70961,741,28652,3,0.18,0.03,308,0,2148.9,0,1840.9
BNPL_000197,31,71133,445,28751,3,0.18,0.03,540,0,2156.32,0,1616.32
BNPL_000198,54,54952,452,25525,3,0.18,0.03,577,0,1914.38,0,1337.38
BNPL_000199,42,76396,326,9992,3,0.18,0.03,486,0,749.4,0,263.4
BNPL_000200,54,111523,754,29529,3,0.18,0.03,372,0,2214.68,0,1842.68
BNPL_000201,41,104563,429,5067,3,0.18,0.03,509,0,380.02,0,-128.98
BNPL_000202,46,68276,448,22234,3,0.18,0.03,495,0,1667.55,0,1172.55
BNPL_000203,54,68302,705,24596,3,0.18,0.03,511,0,1844.7,0,1333.7
BNPL_000204,40,82298,543,17850,3,0.18,0.03,536,0,1338.75,0,802.75
BNPL_000205,54,62304,453,9617,3,0.18,0.03,272,1,721.27,9617,-9167.73
BNPL_000206,37,69912,516,2060,3,0.18,0.03,303,0,154.5,0,-148.5
BNPL_000207,23,43145,528,22587,3,0.18,0.03,371,0,1694.03,0,1323.03
BNPL_000208,54,38051,574,28212,3,0.18,0.03,243,0,2115.9,0,1872.9
BNPL_000209,37,64481,796,26366,3,0.18,0.03,211,0,1977.45,0,1766.45
BNPL_000210,44,15338,380,3750,3,0.18,0.03,573,0,281.25,0,-291.75
BNPL_000211,28,30896,765,23771,3,0.18,0.03,342,0,1782.82,0,1440.82
BNPL_000212,46,42935,315,6806,3,0.18,0.03,481,0,510.45,0,29.45
BNPL_000213,27,59813,634,10820,3,0.18,0.03,206,0,811.5,0,605.5
BNPL_000214,28,98441,776,8737,3,0.18,0.03,422,0,655.27,0,233.27
BNPL_000215,38,32850,789,2614,3,0.18,0.03,472,0,196.05,0,-275.95
BNPL_000216,44,50435,487,26364,3,0.18,0.03,297,0,1977.3,0,1680.3
BNPL_000217,46,35662,663,10230,3,0.18,0.03,214,0,767.25,0,553.25
BNPL_000218,24,69620,696,29345,3,0.18,0.03,360,0,2200.88,0,1840.88
BNPL_000219,22,89038,469,2545,3,0.18,0.03,450,0,190.88,0,-259.12
BNPL_000220,33,110505,715,15919,3,0.18,0.03,426,0,1193.92,0,767.92
BNPL_000221,49,44629,776,10436,3,0.18,0.03,435,0,782.7,0,347.7
BNPL_000222,30,65072,658,22819,3,0.18,0.03,588,0,1711.42,0,1123.42
BNPL_000223,23,48933,675,4033,3,0.18,0.03,523,0,302.47,0,-220.53
BNPL_000224,45,72775,698,17152,3,0.18,0.03,576,0,1286.4,0,710.4
BNPL_000225,32,58001,360,14260,3,0.18,0.03,579,0,1069.5,0,490.5
BNPL_000226,44,44757,525,17512,3,0.18,0.03,398,0,1313.4,0,915.4
BNPL_000227,28,71979,609,11076,3,0.18,0.03,442,0,830.7,0,388.7
BNPL_000228,30,55042,525,19208,3,0.18,0.03,417,1,1440.6,19208,-18184.4
BNPL_000229,23,29199,816,20180,3,0.18,0.03,253,0,1513.5,0,1260.5
BNPL_000230,29,91898,319,20297,3,0.18,0.03,440,1,1522.28,20297,-19214.72
BNPL_000231,38,41685,444,16551,3,0.18,0.03,202,0,1241.32,0,1039.32
BNPL_000232,33,22287,388,28952,3,0.18,0.03,267,0,2171.4,0,1904.4
BNPL_000233,54,32674,622,12874,3,0.18,0.03,228,0,965.55,0,737.55
BNPL_000234,45,103801,631,15774,3,0.18,0.03,239,0,1183.05,0,944.05
BNPL_000235,31,65106,525,27559,3,0.18,0.03,323,0,2066.93,0,1743.93
BNPL_000236,28,36754,475,15913,3,0.18,0.03,236,1,1193.47,15913,-14955.52
BNPL_000237,33,56755,413,29687,3,0.18,0.03,500,0,2226.53,0,1726.53
BNPL_000238,49,99082,622,3591,3,0.18,0.03,239,0,269.32,0,30.32
BNPL_000239,47,107108,588,27861,3,0.18,0.03,415,0,2089.57,0,1674.57
BNPL_000240,48,111826,662,20988,3,0.18,0.03,544,0,1574.1,0,1030.1
BNPL_000241,47,17469,306,18106,3,0.18,0.03,244,0,1357.95,0,1113.95
BNPL_000242,51,62638,725,9561,3,0.18,0.03,359,0,717.08,0,358.08
BNPL_000243,50,57534,381,20787,3,0.18,0.03,457,0,1559.03,0,1102.03
BNPL_000244,49,106659,594,12177,3,0.18,0.03,423,1,913.28,12177,-11686.73
BNPL_000245,47,81672,532,4064,3,0.18,0.03,559,0,304.8,0,-254.2
BNPL_000246,44,78852,625,12706,3,0.18,0.03,273,0,952.95,0,679.95
BNPL_000247,54,76246,711,2571,3,0.18,0.03,534,0,192.82,0,-341.18
BNPL_000248,49,97197,495,9059,3,0.18,0.03,551,0,679.42,0,128.42
BNPL_000249,24,65192,823,27493,3,0.18,0.03,593,0,2061.97,0,1468.97
BNPL_000250,42,35953,419,18378,3,0.18,0.03,409,0,1378.35,0,969.35
BNPL_000251,49,36195,526,23427,3,0.18,0.03,580,0,1757.02,0,1177.02
BNPL_000252,49,59064,378,29570,3,0.18,0.03,257,1,2217.75,29570,-27609.25
BNPL_000253,54,41029,584,27091,3,0.18,0.03,298,0,2031.83,0,1733.83
BNPL_000254,35,56846,456,19482,3,0.18,0.03,571,0,1461.15,0,890.15
BNPL_000255,34,67307,321,13722,3,0.18,0.03,226,0,1029.15,0,803.15
BNPL_000256,48,48756,320,8446,3,0.18,0.03,556,0,633.45,0,77.45
BNPL_000257,26,114986,752,7626,3,0.18,0.03,456,0,571.95,0,115.95
BNPL_000258,35,91961,462,28431,3,0.18,0.03,480,0,2132.32,0,1652.32
BNPL_000259,38,53158,791,20639,3,0.18,0.03,226,0,1547.92,0,1321.92
BNPL_000260,45,20776,608,10711,3,0.18,0.03,278,0,803.33,0,525.33
BNPL_000261,27,76788,835,14091,3,0.18,0.03,577,0,1056.83,0,479.83
BNPL_000262,35,83760,505,13536,3,0.18,0.03,581,0,1015.2,0,434.2
BNPL_000263,29,119101,800,18500,3,0.18,0.03,585,0,1387.5,0,802.5
BNPL_000264,31,44759,371,26849,3,0.18,0.03,519,0,2013.67,0,1494.67
BNPL_000265,51,41143,310,23804,3,0.18,0.03,416,0,1785.3,0,1369.3
BNPL_000266,28,64930,513,5762,3,0.18,0.03,287,1,432.15,5762,-5616.85
BNPL_000267,32,67269,762,10783,3,0.18,0.03,509,0,808.72,0,299.72
BNPL_000268,40,50488,541,26416,3,0.18,0.03,201,0,1981.2,0,1780.2
BNPL_000269,33,98869,415,26217,3,0.18,0.03,302,1,1966.27,26217,-24552.72
BNPL_000270,46,65861,421,18369,3,0.18,0.03,342,1,1377.67,18369,-17333.33
BNPL_000271,31,72660,308,8917,3,0.18,0.03,272,1,668.77,8917,-8520.23
BNPL_000272,52,48320,669,27291,3,0.18,0.03,463,0,2046.83,0,1583.83
BNPL_000273,48,18389,383,15629,3,0.18,0.03,310,0,1172.17,0,862.17
BNPL_000274,27,113762,383,2207,3,0.18,0.03,587,0,165.52,0,-421.48
BNPL_000275,42,89137,814,25678,3,0.18,0.03,496,0,1925.85,0,1429.85
BNPL_000276,34,30313,311,12326,3,0.18,0.03,211,1,924.45,12326,-11612.55
BNPL_000277,39,35022,655,6780,3,0.18,0.03,591,0,508.5,0,-82.5
BNPL_000278,52,104899,848,17711,3,0.18,0.03,511,0,1328.32,0,817.32
BNPL_000279,23,75315,334,14732,3,0.18,0.03,292,0,1104.9,0,812.9
BNPL_000280,35,113656,631,9005,3,0.18,0.03,412,0,675.38,0,263.38
BNPL_000281,44,89131,815,29355,3,0.18,0.03,563,0,2201.62,0,1638.62
BNPL_000282,44,95818,719,27849,3,0.18,0.03,316,0,2088.67,0,1772.67
BNPL_000283,22,41958,717,13171,3,0.18,0.03,461,0,987.82,0,526.82
BNPL_000284,32,63364,829,21342,3,0.18,0.03,424,0,1600.65,0,1176.65
BNPL_000285,28,41723,777,15910,3,0.18,0.03,497,0,1193.25,0,696.25
BNPL_000286,34,64153,674,28916,3,0.18,0.03,524,0,2168.7,0,1644.7
BNPL_000287,34,85135,530,16296,3,0.18,0.03,283,0,1222.2,0,939.2
BNPL_000288,26,116520,327,4113,3,0.18,0.03,362,0,308.47,0,-53.53
BNPL_000289,21,36927,759,14588,3,0.18,0.03,502,0,1094.1,0,592.1
BNPL_000290,30,59738,569,12831,3,0.18,0.03,292,0,962.33,0,670.33
BNPL_000291,50,34816,556,8276,3,0.18,0.03,475,0,620.7,0,145.7
BNPL_000292,32,103576,612,18959,3,0.18,0.03,573,0,1421.92,0,848.92
BNPL_000293,32,107324,604,5568,3,0.18,0.03,319,0,417.6,0,98.6
BNPL_000294,48,98310,550,19340,3,0.18,0.03,569,0,1450.5,0,881.5
BNPL_000295,29,62614,592,27619,3,0.18,0.03,481,1,2071.43,27619,-26028.58
BNPL_000296,26,91260,358,8980,3,0.18,0.03,360,0,673.5,0,313.5
BNPL_000297,34,40611,789,10467,3,0.18,0.03,380,0,785.02,0,405.02
BNPL_000298,54,60272,605,27784,3,0.18,0.03,238,0,2083.8,0,1845.8
BNPL_000299,43,94141,450,24911,3,0.18,0.03,325,0,1868.32,0,1543.32
BNPL_000300,36,16969,674,25559,3,0.18,0.03,540,0,1916.92,0,1376.92
BNPL_000301,28,38196,651,15669,3,0.18,0.03,204,0,1175.17,0,971.17
BNPL_000302,54,63320,610,7238,3,0.18,0.03,417,0,542.85,0,125.85
BNPL_000303,50,70409,444,26089,3,0.18,0.03,335,0,1956.67,0,1621.67
BNPL_000304,32,65138,644,23293,3,0.18,0.03,488,0,1746.97,0,1258.97
BNPL_000305,51,62055,352,11519,3,0.18,0.03,268,0,863.92,0,595.92
BNPL_000306,48,84569,460,9848,3,0.18,0.03,288,0,738.6,0,450.6
BNPL_000307,29,100150,788,9114,3,0.18,0.03,523,0,683.55,0,160.55
BNPL_000308,24,106749,318,5553,3,0.18,0.03,281,0,416.48,0,135.48
BNPL_000309,43,40426,664,7450,3,0.18,0.03,328,0,558.75,0,230.75
BNPL_000310,27,106736,364,29723,3,0.18,0.03,398,0,2229.22,0,1831.22
BNPL_000311,39,50643,772,19824,3,0.18,0.03,504,0,1486.8,0,982.8
BNPL_000312,46,91743,302,24612,3,0.18,0.03,481,0,1845.9,0,1364.9
BNPL_000313,22,107059,520,3177,3,0.18,0.03,352,0,238.28,0,-113.72
BNPL_000314,54,68551,592,29598,3,0.18,0.03,499,0,2219.85,0,1720.85
BNPL_000315,43,96709,797,28987,3,0.18,0.03,578,0,2174.03,0,1596.03
BNPL_000316,41,48174,635,28414,3,0.18,0.03,316,0,2131.05,0,1815.05
BNPL_000317,45,23906,350,14046,3,0.18,0.03,523,0,1053.45,0,530.45
BNPL_000318,42,52650,633,8012,3,0.18,0.03,572,0,600.9,0,28.9
BNPL_000319,47,57652,455,25695,3,0.18,0.03,305,0,1927.12,0,1622.12
